"ID_FB","NUM_ETF","CENTRE_PROFIT","VOL_REEL_ABA_M3","COUT_TOTAL_ABA","COUT_ABA_TERRE_M3","VOL_REEL_DEB_M3","COUT_TOTAL_DEB","COUT_DEB_TERRE_M3","VOL_REF","COUTS_ANNEXES_TOTAL","COUTS_ANNEXES_M3","TARIF_PRESTA_TERRE_M3","TARIF_PRESTA_TERRE_TOT","NB_GRUMES","DIAM_MOY","VOL_MOYEN_GRUME","G_TOT_CUT","ESSENCE_MAJ","PRIX_VENTE_TOT","PRIX_VENTE_GRUME_TERRE","VOL_HA_MOY","HA_DES_TOT","FAMILLE_COUPE","PEUPLEMENT_STR","ALTITUDE_MOY","PENTE_MOY","TYPE_CHANTIER"
"FB210025142",30,853501,24.87,380.51,15.2999597909127,24.87,190.26,7.65018094089264,24.87,0,0,22.9501407318054,570.77,138,48.1884057971015,2.22391304347826,28.121,"Hêtre",6385.625665,46.2726497463768,38.76,10.83,"Famille Irréguliers","futaie régulière",213.132720947266,0.393310517072678,"Plaine"
"FB210028739",31,835510,102.79,1104.14,10.7417063916723,NA,NA,NA,NA,0,0,NA,NA,620,22.7016129032258,0.436061290322579,27.1390000000001,"Chêne sessile ou pédonculé",14278.58,23.0299677419355,28.11,11,"Famille Amélioration","futaie régulière",251.470016479492,2.08253192901611,"Plaine"
"FB210028930",11,853501,2255.96,14945.89,6.62506870689197,2255.96,8965.52,3.97414847780989,2255.96,0,0,10.5992171847019,23911.41,428,39.053738317757,1.37617757009345,53.9909999999998,"Hêtre",60743.673958,141.924471864486,34.39,21.91,"Famille Amélioration","futaie régulière",125.979141235352,9.42559337615967,"Plaine"
"FB210028934",32,853501,249.61,2883.3,11.5512199030488,249.61,1834.08,7.34778254076359,249.61,0,0,18.8990024438123,4717.38,29,73.7931034482759,6.27848275862069,12.641,"Hêtre",16620.82,573.131724137931,90.72,2.8,"Famille Régénération","futaie régulière",96.6327133178711,7.04054117202759,"Plaine"
"FB210033551",33,853501,162.18,1643.08,10.131212233321,162.18,1156.35,7.13004069552349,162.18,0,0,17.2612529288445,2799.43,215,52.046511627907,2.51259069767442,48.014,"Hêtre",22260.493564,103.537179367442,51.63,14.9,"Famille Amélioration","futaie régulière",168.261764526367,7.63849258422852,"Plaine"
"FB210034852",34,832001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,61.6279069767442,3.94208139534884,26.941,"Chêne sessile ou pédonculé",42357.395041,492.527849313954,58.06,8.34,"Famille Amélioration","futaie régulière",40.1085014343262,1.03743958473206,"Plaine"
"FB210035327",24,833512,87,829.98,9.54,87,488.07,5.61,87,0,0,15.15,1318.05,5794,20.6472212633759,0.266921470486713,211.892000000009,"Pin laricio",51743.1699999995,8.9304746289264,19.7833333333333,83.14,"Famille Amélioration","futaie régulière",122.709541320801,1.08302819728851,"Plaine"
"FB210035918",11,853501,597.64,7368.46,12.3292617629342,597.64,4396.97,7.35722173883944,597.64,0,0,19.6864835017736,11765.43,76,66.578947368421,4.75830263157895,27.527,"Hêtre",43148.72606,567.746395526316,109.36,4.5,"Famille Régénération","futaie régulière",188.41276550293,4.1389651298523,"Plaine"
"FB210038493",11,853501,336.43,148.03,0.440002377909223,336.43,235.5,0.699997027613471,336.43,0,0,1.13999940552269,383.53,89,64.9438202247191,4.83406741573034,31.31,"Hêtre",44683.066573,502.056927786517,43.37,13.64,"Famille Régénération","futaie régulière",109.253456115723,4.39739990234375,"Plaine"
"FB210038498",32,853501,340.41,215.6,0.63335389677154,340.41,267.8,0.786698393114186,340.41,0,0,1.42005228988573,483.4,122,64.9180327868852,4.27391803278688,41.38,"Hêtre",44794.442153,367.167558631148,59.5,12.01,"Famille Régénération","futaie régulière",187.86083984375,1.65033197402954,"Plaine"
"FB210038522",11,853501,1080.49,13554.98,12.5452155966275,1080.49,8173.07,7.56422549028681,1080.49,0,0,20.1094410869143,21728.05,146,70.3424657534247,5.81271232876711,58.5550000000001,"Hêtre",66669.56,456.640821917808,58.72,19.98,"Famille Régénération","futaie régulière",159.845581054688,2.95014762878418,"Plaine"
"FB210044225",11,853501,2421.73,30142.86,12.4468293327497,2421.73,17655.76,7.29055675075256,2421.73,0,0,19.7373860835023,47798.62,301,61.6777408637874,4.45272757475083,92.6119999999999,"Hêtre",63752.509369,211.802356707641,93.14,19.56,"Famille Régénération","futaie régulière",167.307235717773,1.90048325061798,"Plaine"
"FB210050103",35,884508,4.42,77.57,17.5497737556561,4.42,80.44,18.1990950226244,4.42,0,0,35.7488687782805,158.01,217,36.0599078341014,0.975571428571429,23.892,"Hêtre",14084.07,64.9035483870967,48.94,5,"Famille Irréguliers","futaie irrégulière",984.439270019531,32.5008850097656,"Montagne"
"FB210052353",32,853501,426.32,2585.3,6.06422405704635,426.32,1710.53,4.01231469318822,426.32,0,0,10.0765387502346,4295.83,92,42.7717391304348,1.83777173913043,14.655,"Frêne commun",10996.43,119.526413043478,41.82,5.12,"Famille Irréguliers","taillis sous futaie",117.844436645508,12.9276437759399,"Plaine"
"FB210060349",33,853501,388.99,3909.34,10.0499755777783,388.99,2773.5,7.13000334198823,388.99,0,0,17.1799789197666,6682.84,204,64.8529411764706,4.48545588235293,74.025,"Hêtre",22517.71,110.380931372549,138.69,9.81,"Famille Régénération","futaie régulière",135.254028320312,4.82154941558838,"Plaine"
"FB210061833",24,833512,694.5,6625.53,9.54,694.5,3896.15,5.61000719942405,694.5,0,0,15.150007199424,10521.68,2703,17.4546799852016,0.196093599704029,71.1499999999993,"Pin laricio",32781.78,12.1279245283019,24.98,22.05,"Famille Amélioration","futaie régulière",129.191711425781,1.09325802326202,"Plaine"
"FB210064007",37,835510,3681,41963.4,11.4,3681,23926.5,6.5,3681,1540,0.418364574843792,18.3183645748438,67429.9,1,10,0.039,0.008,"Charme",136546.93,136546.93,75,23.46,"Famille Régénération","taillis sous futaie",160.955001831055,1.03929173946381,"Plaine"
"FB210064901",11,853501,245.38,1521.36,6.20001630124704,245.38,858.84,3.50004075311761,245.38,0,0,9.70005705436466,2380.2,52,42.7884615384615,2.32657692307692,8.703,"Frêne commun",8565.48,164.720769230769,104.82,1.5,"Famille coupes sanitaires","futaie régulière",121.093589782715,9.6353816986084,"Plaine"
"FB210067122",32,853501,333.1,3856.55,11.5777544280997,333.1,2456.62,7.37502251576103,333.1,0,0,18.9527769438607,6313.17,54,61.2962962962963,4.56253703703704,16.645,"Hêtre",20560.21,380.74462962963,41.59,8.13,"Famille coupes sanitaires","futaie régulière",153.844375610352,3.6135904788971,"Plaine"
"FB210067410",8,844009,871.227,13068.41,15.0000057390324,NA,NA,NA,NA,0,0,NA,NA,176,54.0056818181818,3.10288636363636,42.283,"Sapin pectiné",22661.51,128.758579545455,82.47,7.31,"Famille Irréguliers","futaie irrégulière",759.2099609375,4.56065130233765,"Montagne"
"FB210068066",11,853501,498.03,6130.24,12.3089773708411,779.89,3951.7,5.06699662772955,779.89,0,0,17.3759739985707,10081.94,89,67.0786516853933,5.23138202247191,32.124,"Hêtre",43253.442097,485.993731426966,80.3,8,"Famille coupes sanitaires","futaie régulière",125.253402709961,6.34275960922241,"Plaine"
"FB210068067",11,853501,347.47,4238.21,12.1973407776211,504.13,2739.07,5.43326126197608,504.13,0,0,17.6306020395972,6977.28,39,74.1025641025641,5.18305128205128,17.436,"Hêtre",13786.18,353.491794871795,40.28,7,"Famille Régénération","futaie régulière",131.314147949219,3.40703296661377,"Plaine"
"FB210071611",32,853501,600.91,6750.46,11.2337288445857,600.91,4286.8,7.13384699871861,600.91,0,0,18.3675758433043,11037.26,106,63.3018867924528,3.81518867924528,34.752,"Hêtre",35850.4,338.211320754717,36.27,15.23,"Famille Régénération","futaie régulière",185.142929077148,2.32532835006714,"Plaine"
"FB210073106",39,835510,695,8916.85,12.83,695,5942.25,8.55,695,0,0,21.38,14859.1,345,56.0869565217391,2.49939130434782,88.436,"Chêne sessile ou pédonculé",382723.374095999,1109.34311332174,56.27,24.48,"Famille Régénération","Futaie sur souche ou TSF en conversion",175.005310058594,0.638682663440704,"Plaine"
"FB210073498",40,853501,366.21,4698.47,12.8299882581033,366.21,2611.08,7.13000737281887,366.21,0,0,19.9599956309222,7309.55,1743,19.6471600688468,0.325161790017213,59.1339999999999,"Hêtre",15666.24,8.98808950086058,48.194,16.82,"Famille Amélioration","futaie régulière",164.54557800293,0.694339215755463,"Plaine"
"FB210074438",33,853501,107.13,1119.71,10.4518808923738,107.13,780.98,7.29002146924298,107.13,0,0,17.7419023616167,1900.69,183,45.0819672131148,1.76592349726776,31.116,"Hêtre",10476.966696,57.2511841311475,39.7,11.3,"Famille Amélioration","futaie régulière",182.951034545898,5.40801286697388,"Plaine"
"FB210074496",32,853501,121.26,1401.82,11.560448622794,121.26,892.14,7.35724888668976,121.26,0,0,18.9176975094838,2293.96,330,62.6969696969697,4.73210909090908,105.228,"Hêtre",21455.672627,65.0171897787879,163.35,13.14,"Famille Régénération","futaie régulière",145.171905517578,7.0490312576294,"Plaine"
"FB210074501",30,853501,15.65,239.45,15.3003194888179,15.65,119.72,7.64984025559105,15.65,0,0,22.9501597444089,359.17,80,62.0625,4.4526625,25.076,"Hêtre",4105.9,51.32375,41.71,11.91,"Famille Régénération","futaie régulière",165.749038696289,4.84089612960815,"Plaine"
"FB220000019",33,853501,258.18,2675.15,10.3615694476722,408.18,2910.33,7.13001616933706,408.18,0,0,17.4915856170092,5585.48,136,49.8897058823529,2.24645588235294,28.021,"Hêtre",34238.39,251.752867647059,32.9,12.86,"Famille Irréguliers","futaie régulière",189.704055786133,7.33881092071533,"Plaine"
"FB220000043",11,853501,217.65,2764.16,12.7000229726625,217.65,1786.91,8.21001608086377,217.65,0,0,20.9100390535263,4551.07,71,59.7887323943662,4.12352112676056,20.696,"Hêtre",35716.066467,503.043189676056,34.63,11.33,"Famille Régénération","futaie régulière",169.366775512695,2.1246395111084,"Plaine"
"FB220003307",41,853501,1229.11,13145.4,10.6950557720627,1229.11,8067.66,6.56382260334714,1229.11,0,0,17.2588783754099,21213.06,466,42.0171673819742,1.66327038626609,72.4349999999999,"Hêtre",93107.0277870001,199.800488813305,54.82,18.96,"Famille Amélioration","futaie régulière",216.693557739258,0.804646611213684,"Plaine"
"FB220004061",42,833513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2154,19.8653667595172,0.328729805013927,89.9999999999995,"Charme",72099.18396,33.4722302506964,45.3,20,"Famille Régénération","taillis sous futaie",142.920654296875,1.14553558826447,"Plaine"
"FB220004062",43,833514,967,12571,13,989,5548.29,5.61,989,0,0,18.61,18119.29,2154,19.8653667595172,0.328729805013927,89.9999999999995,"Charme",28445.25,13.2057799442897,45.3,20,"Famille Régénération","taillis sous futaie",142.920654296875,1.14553558826447,"Plaine"
"FB220004108",41,853501,568.31,6005.58,10.567436786261,568.31,3779.74,6.65084197005156,568.31,0,0,17.2182787563126,9785.32,126,60.8333333333333,3.68650793650794,37.648,"Hêtre",33876.07,268.857698412698,60.22,11.16,"Famille Amélioration","futaie régulière",172.037780761719,6.2662763595581,"Plaine"
"FB220004109",33,853501,906.02,9386.86,10.3605439173528,906.02,6604.89,7.29000463565926,906.02,0,0,17.6505485530121,15991.75,214,55.0467289719626,2.61897196261682,52.47,"Hêtre",51605.9199999999,241.149158878504,53.87,14.99,"Famille Amélioration","futaie régulière",205.271392822266,2.37010645866394,"Plaine"
