"ID_FB","VOL_REEL_ABA_M3","COUT_TOTAL_ABA","COUT_ABA_TERRE_M3","VOL_REEL_DEB_M3","COUT_TOTAL_DEB","COUT_DEB_TERRE_M3","VOL_REF","COUTS_ANNEXES_TOTAL","COUTS_ANNEXES_M3","TARIF_PRESTA_TERRE_M3","TARIF_PRESTA_TERRE_TOT"
"FB220004108",568.31,6005.58,10.567436786261,568.31,3779.74,6.65084197005156,568.31,0,0,17.2182787563126,9785.32
"FB220004109",906.02,9386.86,10.3605439173528,906.02,6604.89,7.29000463565926,906.02,0,0,17.6505485530121,15991.75
"FB220004111",733.32,7822.16,10.6667757595593,733.32,4827.53,6.58311514754814,733.32,0,0,17.2498909071074,12649.69
"FB220004112",79.66,767.13,9.63005272407733,79.66,567.98,7.13005272407733,79.66,0,0,16.7601054481547,1335.11
"FB220004132",491.77,5201.94,10.577993777579,491.77,3267.15,6.64365455395815,491.77,0,0,17.2216483315371,8469.09
"FB220004172",720.25,9084.19,12.6125511975009,720.25,5420.7,7.52613675807011,720.25,0,0,20.138687955571,14504.89
"FB220004173",918.77,10197.63,11.0992196088248,918.77,6426.14,6.99428583867562,918.77,0,0,18.0935054475005,16623.77
"FB220004193",495,4572.22,9.23680808080808,495,3347.79,6.76321212121212,495,0,0,16.0000202020202,7920.01
"FB220004195",393,3624.34,9.22223918575064,393,2679.72,6.81862595419847,393,0,0,16.0408651399491,6304.06
"FB220004202",924.45,9623.24,10.4096922494456,924.45,6591.33,7.1300016225864,924.45,0,0,17.539693872032,16214.57
"FB220005933",692.02,3875.32,5.60001156035953,692.02,2449.76,3.54001329441346,692.02,0,0,9.14002485477298,6325.08
"FB220006726",125.755,1634.82,13.0000397598505,125.755,1383.31,11.0000397598505,125.755,0,0,24.000079519701,3018.13
"FB220007895",1166,12826,11,1166,6996,6,1166,0,0,17,19822
"FB220007896",930,10230,11,NA,NA,NA,NA,0,0,NA,NA
"FB220007910",166.7,2157.1,12.9400119976005,166.7,1631.99,9.78998200359928,166.7,0,0,22.7299940011998,3789.09
"FB220008591",665,5985,9,665,3990,6,665,0,0,15,9975
"FB220008609",35.5,436.65,12.3,NA,NA,NA,NA,0,0,NA,NA
"FB220008617",37.5,485.25,12.94,37.5,345.38,9.21013333333333,37.5,0,0,22.1501333333333,830.63
"FB220008855",303,3302.7,10.9,216,1276.56,5.91,216,0,0,16.81,4579.26
"FB220010186",693,9563.4,13.8,840,5460,6.5,840,0,0,20.3,15023.4
"FB220010931",690.333,6903.33,10,690.333,6868.81,9.94999514726951,690.333,1380.67,2.00000579430507,21.9500009415746,15152.81
"FB220013220",1514.06,8269.2,5.46160654135239,1814.06,6920.64,3.81500060637465,1814.06,0,0,9.27660714772704,15189.84
"FB220013400",82.203,747.23,9.09005754047906,NA,NA,NA,NA,0,0,NA,NA
"FB220013401",84,763.56,9.09,NA,NA,NA,NA,0,0,NA,NA
"FB220014751",328.69,4019.57,12.2290608171834,487.64,2595.86,5.32331227955049,487.64,0,0,17.5523730967339,6615.43
"FB220016564",785.71,9051.38,11.5200010181874,785.71,8226.38,10.4699952908834,785.71,0,0,21.9899963090708,17277.76
"FB220017881",445.7,5005.21,11.2299977563383,445.7,2500.38,5.61000673098497,445.7,0,0,16.8400044873233,7505.59
"FB220019140",245.996,2890.45,11.7499878046798,246,2263.2,9.2,246,0,0,20.9499878046798,5153.65
"FB220019141",150,1747.5,11.65,143.46,903.8,6.30001394116827,143.46,0,0,17.9500139411683,2651.3
"FB220019175",105.8,1246.33,11.780056710775,NA,NA,NA,NA,0,0,NA,NA
"FB220019367",810,9395,11.5987654320988,810,15715,19.4012345679012,810,2624.98,3.24071604938272,34.2407160493827,27734.98
"FB220019704",487.79,5034.38,10.3207937842104,487.79,3555.99,7.29000184505627,487.79,0,0,17.6107956292667,8590.37
"FB220019726",444.87,5707.68,12.8299952795199,444.87,3171.92,7.12999303167217,444.87,0,0,19.959988311192,8879.6
"FB220020101",18.31,205.44,11.2200983069361,18.31,130.73,7.1398143091207,18.31,0,0,18.3599126160568,336.17
"FB220020913",401.4,3663.64,9.12715495764823,401.4,2422.61,6.03540109616343,401.4,0,0,15.1625560538117,6086.25
"FB220021094",150,1632,10.88,201,1507.5,7.5,201,0,0,18.38,3139.5
"FB220021098",197.37,2823.84,14.3073415412677,488.37,3940.41,8.06849315068493,488.37,0,0,22.3758346919526,6764.25
"FB220022787",650.4,6204.82,9.5400061500615,650.4,3648.74,5.6099938499385,650.4,0,0,15.15,9853.56
"FB220022808",200,2180,10.9,259.6,1640.67,6.31999229583975,259.6,0,0,17.2199922958398,3820.67
"FB220022837",942.6,13149.27,13.95,934.6,5523.49,5.91000427990584,934.6,630,0.674085170126257,20.5340894500321,19302.76
"FB220024484",720,8460,11.75,720.34,6713.57,9.32000166588,720.34,0,0,21.07000166588,15173.57
"FB220024487",646,7538.82,11.67,646.48,4059.89,6.27999319391164,646.48,0,0,17.9499931939116,11598.71
"FB220026130",377,4331.73,11.49,396,2221.56,5.61,396,0,0,17.1,6553.29
"FB220026145",761.64,8606.53,11.2999973740875,761.64,6512.02,8.5499973740875,761.64,6460,8.48169738984297,28.331692138018,21578.55
"FB220026146",876.32,10068.92,11.4900036516341,876.32,5538.34,6.31999726127442,876.32,0,0,17.8100009129085,15607.26
"FB220026638",832,8827.52,10.61,832,4975.36,5.98,832,0,0,16.59,13802.88
"FB220028670",589.443,6189.66,10.5008626788341,554.088,4795.57,8.65488875413292,554.088,1108.18,2.0000072190699,21.1557586520369,12093.41
"FB220030598",20.985,210.82,10.0462234929712,21.12,141.29,6.68986742424242,21.12,0,0,16.7360909172136,352.11
"FB220030661",56.49,534.62,9.46397592494247,56.49,379.83,6.72384492830589,56.49,0,0,16.1878208532484,914.45
"FB220030747",273.41,2925.49,10.7000109725321,273.41,1708.81,6.24999085622325,273.41,0,0,16.9500018287553,4634.3
"FB220030797",429.14,5401.55,12.5869180220907,794.97,3460.42,4.35289381989257,794.97,0,0,16.9398118419833,8861.97
"FB220030977",906.98,9300.6,10.2544708813866,1277.53,6982.43,5.46557028014998,1277.53,0,0,15.7200411615366,16283.03
"FB220030998",155.73,1878.1,12.0599755987928,155.73,1110.35,7.12996853528543,155.73,0,0,19.1899441340782,2988.45
"FB220031780",609.121,6005.4,9.8591248700997,NA,NA,NA,NA,735.45,0,NA,NA
"FB220033229",662,6315.48,9.54,662,3713.82,5.61,662,0,0,15.15,10029.3
"FB220035304",1275.35,15638.46,12.2620927588505,1275.35,9431.61,7.39531109107304,1275.35,0,0,19.6574038499236,25070.07
"FB220035309",596.16,3911.29,6.56080582393988,596.16,2390.9,4.01050053676865,596.16,0,0,10.5713063607085,6302.19
"FB220035736",93.229,1208.95,12.9675315620676,93.229,879.15,9.43000568492636,93.229,0,0,22.397537246994,2088.1
"FB220035739",55,640.75,11.65,61.1,383.71,6.28003273322422,61.1,0,0,17.9300327332242,1024.46
"FB220035746",637,7765.03,12.19,637,5172.44,8.12,637,0,0,20.31,12937.47
"FB220036538",927.884,10902.64,11.7500032331628,941.885,7299.61,7.75000132712592,941.885,770.3,0.817828078799429,20.3178326390881,18972.55
"FB220037013",885,7965,9,885,5310,6,885,0,0,15,13275
"FB220038340",170.785,1793.24,10.4999853617121,176.485,1623.66,9.19998866759215,176.485,0,0,19.6999740293042,3416.9
"FB220038341",294,3381,11.5,294,1911,6.5,294,0,0,18,5292
"FB220042764",478.01,5944.84,12.4366435848622,478.01,3645.14,7.62565636702161,478.01,0,0,20.0622999518839,9589.98
"FB220042778",655.46,7532.28,11.4915936899277,655.46,4776.01,7.28650108320874,655.46,0,0,18.7780947731364,12308.29
