ID_FB,NUM_ETF,LIBELLE_ARTICLE,UNITE,DATE_RECEPTION,QUANTITE_RECEPTION,DATE_PREC,JOURS_CALENDAIRES,JOURS_TRAVAILLES,VITESSE_MOY_JOUR_M3,TYPE_VITESSE,VOL_REF,TYPE_CHANTIER,ANNEE,VOL_TOT_ANNUEL_M3,NB_CHANTIERS,debut,fin
FB230072373,32,Abatt/Faç. grumes rés. toutes classes,M3,2024-11-15,160.67,2024-09-19,57,40.714285714285715,3.9462807017543855,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB230072377,32,Abatt/Faç. grumes feu. toutes classes,M3,2024-11-19,263.93,2024-11-15,4,2.857142857142857,92.3755,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB230075443,51,Abattage-façonnage de grumes,M3,2024-02-23,122.14,2024-01-30,24,17.142857142857142,7.124833333333334,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB230075682,6,Abattage-façonnage de grumes,M3,2024-03-13,177,2024-02-21,21,15,11.8,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB230076279,33,Abatt/Faç. grumes feu. toutes classes,M3,2024-04-08,78.15,2024-03-15,24,17.142857142857142,4.558750000000001,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240001059,50,Débardage de grumes,M3,2025-07-01,474,2025-06-27,4,2.857142857142857,165.9,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004149,107,Abattage mécanisé de bois d'industrie,M3A,2025-02-18,165,2025-02-12,6,4.285714285714286,38.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004275,33,Abatt/Faç. grumes feu. toutes classes,M3,2024-08-19,275.4,2024-07-04,46,32.85714285714286,8.38173913043478,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004593,33,Abatt/Faç. grumes feu. toutes classes,M3,2024-12-10,117.11,2024-11-25,15,10.714285714285715,10.930266666666666,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004593,33,Abatt-faç bois ind/chauff feuil billon,M3A,2025-01-22,300,2024-12-10,43,30.714285714285715,9.767441860465116,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004593,33,Abatt-faç bois ind/chauff feuil billon,M3A,2025-02-12,84.42,2025-01-22,21,15,5.628,intra_chantier,NA,NA,NA,NA,NA,NA,NA
FB240004597,33,Abatt/Faç. grumes feu. toutes classes,M3,2024-10-09,85.75,2024-08-19,51,36.42857142857143,2.353921568627451,intra_chantier,NA,NA,NA,NA,NA,NA,NA
