"ACCORD_CADRE","ID_CHANTIER","NUM_SAP","NUM_ETF","AGENCE","CENTRE_PROFIT","POSTE","ARTICLE","LIBELLE_ARTICLE","LIBELLE_POSTE","PU_COMMANDE","UNITE","QUANTITE_COMMANDE","DATE_RECEPTION","QUANTITE_RECEPTION","MONTANT_RECEPTION","ID_LIGNE","TYPE_TRAVAUX"
"2022-2024","MS30",4700246171,1,8693,869303,20,"04-EXPL-DBC01","Débardage par câble","Débardage par câble",23,"M3",2000,2024-08-26,64,1472,210,"DEBARDAGE"
"2022-2024","MS33",4501591618,3,8515,851507,20,"04-EXPL-DBC01","Débardage par câble","MS33 - Débardage par câble",16,"M3",526,2024-03-04,526,8416,248,"DEBARDAGE"
"2022-2024","MS33",4501591618,3,8515,851507,50,"04-EXPL-DBC01","Débardage par câble","MS33 - Débardage par câble",16,"M3",51.55,2024-06-17,51.55,824.8,251,"DEBARDAGE"
"2022-2024","MS34",4501642127,4,8835,883505,40,"04-EXPL-DBC01","Débardage par câble","DEPFOSSA 5 - Débardage par câble",23.5,"M3",2000,2024-12-06,300,7050,260,"DEBARDAGE"
"2022-2024","MS34",4501642127,4,8835,883505,40,"04-EXPL-DBC01","Débardage par câble","DEPFOSSA 5 - Débardage par câble",23.5,"M3",2000,2025-07-31,300,7050,261,"DEBARDAGE"
"2022-2024","MS34",4501642127,4,8835,883505,40,"04-EXPL-DBC01","Débardage par câble","DEPFOSSA 5 - Débardage par câble",23.5,"M3",2000,2025-09-11,500,11750,262,"DEBARDAGE"
"2022-2024","MS34",4501642127,4,8835,883505,40,"04-EXPL-DBC01","Débardage par câble","DEPFOSSA 5 - Débardage par câble",23.5,"M3",2000,2025-11-18,400,9400,263,"DEBARDAGE"
"2022-2024","MS35",4501599549,4,8345,834503,30,"04-EXPL-DBC01","Débardage par câble","FS VALADE ET LA CHANSELVE P 2-3",21.3,"M3",2100,2024-03-12,250,5325,272,"DEBARDAGE"
"2022-2024","MS35",4501599549,4,8345,834503,30,"04-EXPL-DBC01","Débardage par câble","FS VALADE ET LA CHANSELVE P 2-3",21.3,"M3",2100,2024-03-26,600,12780,273,"DEBARDAGE"
"2022-2024","MS35",4501599549,4,8345,834503,30,"04-EXPL-DBC01","Débardage par câble","FS VALADE ET LA CHANSELVE P 2-3",21.3,"M3",2100,2024-04-30,100,2130,274,"DEBARDAGE"
"2022-2024","MS35",4501599549,4,8345,834503,30,"04-EXPL-DBC01","Débardage par câble","FS VALADE ET LA CHANSELVE P 2-3",21.3,"M3",2100,2024-05-16,850,18105,275,"DEBARDAGE"
"2022-2024","MS35",4501599549,4,8345,834503,30,"04-EXPL-DBC01","Débardage par câble","FS VALADE ET LA CHANSELVE P 2-3",21.3,"M3",2100,2024-06-24,300,6390,276,"DEBARDAGE"
"2022-2024","MS37_lot1",4501611621,1,8455,845514,40,"04-EXPL-DBC01","Débardage par câble","DB BO RX FD ST PRIX P67",13.5,"M3",670,2024-06-10,200,2700,284,"DEBARDAGE"
"2022-2024","MS37_lot1",4501611621,1,8455,845514,40,"04-EXPL-DBC01","Débardage par câble","DB BO RX FD ST PRIX P67",13.5,"M3",670,2024-07-11,470,6345,285,"DEBARDAGE"
"2022-2024","MS37_lot1",4501611621,1,8455,845514,60,"04-EXPL-DBC01","Débardage par câble","DB BI RX FD ST PRIX P67",13.5,"STR",1713,2024-06-10,350,4725,288,"DEBARDAGE"
