ACCORD_CADRE,ID_CHANTIER,NUM_SAP,NUM_ETF,AGENCE,CENTRE_PROFIT,POSTE,ARTICLE,LIBELLE_ARTICLE,LIBELLE_POSTE,PU_COMMANDE,UNITE,QUANTITE_COMMANDE,DATE_RECEPTION,QUANTITE_RECEPTION,MONTANT_RECEPTION
2025,MS2,4501675539,4,8835,883509,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,MEZENC 26 -Forfait transfert du matériel,1980,U,1,2025-07-01,1,1980
2025,MS3,4501691097,4,8835,883509,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,LANTRIAC 7 Forfait transfert du matériel,907,U,1,2025-10-28,1,907
2025,MS3,4501691097,4,8835,883509,50,04-EXPL-DBC02,Exploitation - Transfert matériel câble,LANDRIAC 7 Forfait déplacement équipe,1410,U,1,2025-10-28,1,1410
2025,MS7,4501675578,11,8505,850510,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait transfert matériel - MS 7,704,U,4,2025-07-10,2,2
2025,MS7,4501675578,11,8505,850510,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait transfert matériel - MS 7,704,U,4,2025-09-02,2,2
2025,MS7,4501675578,11,8505,850510,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,300,U,3,2025-07-10,300,900
2025,MS7,4501675578,11,8505,850510,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,300,U,3,2025-09-02,700,2100
2025,MS7,4501675578,11,8505,850510,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,300,U,6,2025-09-03,-1000,-3000
2025,MS7,4501675578,11,8505,850510,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,300,U,3,2025-09-11,3,900
2025,MS7,4501675578,11,8505,850510,70,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,700,U,3,2025-09-11,3,2100
2025,MS7,4501675578,11,8505,850510,80,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,600,U,3,2025-11-06,3,1800
2025,MS7,4501675578,11,8505,850510,120,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,7156.05,U,1,2025-12-12,1,7156.05
2025,MS12,4501668554,8,8440,844001,30,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait transfert mat FC BERTHELANGE P13,330,U,2,2025-06-11,1.5,495
2025,MS14,4700283007,1,8693,869308,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Exploitation - Transfert matériel câble,390,U,3,2025-12-15,3,1170
2025,MS15_lot1,4700276485,1,8692,869206,70,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Exploitation - Transfert matériel câble,412.5,U,3,2025-08-26,3,1237.5
2025,MS15_lot2,4700276485,1,8692,869206,70,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Exploitation - Transfert matériel câble,412.5,U,3,2025-08-26,3,1237.5
2025,MS18,4501675175,8,8440,844009,50,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait transfert du matériel FD LEVIER1,345,U,2,2025-06-23,2,690
2025,MS20,4501670169,4,8835,883503,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,GUERY 28 29 30Forfait transfert matériel,1500,U,1,2025-05-27,1,1500
2025,MS32,4700288177,13,8681,868113,50,04-EXPL-DBC02,Exploitation - Transfert matériel câble,FD Signy l'Abbaye 146-147-148-149-150EXP,3,U,4,NA,NA,NA
2025,MS38,4700285861,1,8683,868314,30,04-EXPL-TFMAT1,04-EXPL-TFMAT1,SIGFRA VIVEY p.3317 -Transfert matériel,2970,/FO,1,2025-12-19,1,2970
2025,MS39,4700285887,1,8683,868314,40,04-EXPL-TFMAT1,04-EXPL-TFMAT1,SIGFRA VOISINES p.3410 - Transfert mat.,502.5,/FO,1,NA,NA,NA
2025,MS40,4501694442,8,8415,841522,110,08-EXPL-MANUT00,Manut / Rgpt sur chantiers avec grumier,Forfait Transfert matériel FD CHAUX,390,U,2,NA,NA,NA
2025,MS42,4501694622,8,8455,845507,40,04-EXPL-DBC02,Exploitation - Transfert matériel câble,FORF.TRANSF. FD CITEAUX,487.5,U,2,2025-11-17,2,975
2025,MS47,4501705079,2,8805,880508,10,04-EXPL-TFMAT1,04-EXPL-TFMAT1,25-65 SEILLON V1-Transfert,2787,U,2,2026-01-20,2,5574
