"ACCORD_CADRE","ID_CHANTIER","NUM_SAP","NUM_ETF","AGENCE","CENTRE_PROFIT","POSTE","ARTICLE","LIBELLE_ARTICLE","LIBELLE_POSTE","PU_COMMANDE","UNITE","QUANTITE_COMMANDE","DATE_RECEPTION","QUANTITE_RECEPTION","MONTANT_RECEPTION","ID_LIGNE","TYPE_TRAVAUX"
"2022-2024","MS18","4700236917",1,8670,867009,10,"04-EXPL-ABT00","Abattage, façonnage (gén)","ABA FD SMB 159 153 154",12,"M3",3026,2024-09-26,385.98,4631.76,83,"ABATTAGE"
"2022-2024","MS19_lot1","4501572577",3,8440,844009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abbatge-facon FD LEVIER1J P55",13,"U",646.011,2023-12-14,646.011,8398.14,94,"ABATTAGE"
"2022-2024","MS19_lot2","4501572572",3,8440,844009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abbatge-facon FD LEVIER3S P174",13,"U",1491.37,2023-10-02,500,6500,98,"ABATTAGE"
"2022-2024","MS19_lot2","4501572572",3,8440,844009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abbatge-facon FD LEVIER3S P174",13,"U",1491.37,2023-10-30,400,5200,99,"ABATTAGE"
"2022-2024","MS19_lot2","4501572572",3,8440,844009,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abbatge-facon FD LEVIER3S P174",13,"U",1491.37,2023-11-28,591.37,7687.81,100,"ABATTAGE"
"2022-2024","MS20","4501619216",4,8835,883503,10,"04-EXPL-AST01","Abattage-façonnage de grumes","STJULI63 Abattage-façonnage de grumes",5.5,"M3",850,2024-06-17,500,2750,106,"ABATTAGE"
"2022-2024","MS20","4501619216",4,8835,883503,10,"04-EXPL-AST01","Abattage-façonnage de grumes","STJULI63 Abattage-façonnage de grumes",5.5,"M3",850,2024-07-11,350,1925,107,"ABATTAGE"
"2022-2024","MS20","4501625191",4,8835,883503,10,"04-EXPL-AST01","Abattage-façonnage de grumes","STJULI63 Abattage-façonnage de grumes",5.5,"M3",94,2024-07-25,94,517,112,"ABATTAGE"
"2022-2024","MS21","4501617505",4,8835,883503,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GUERY 17 - Abattage-façonnage de grumes",13,"M3",1800,2024-07-09,400,5200,117,"ABATTAGE"
"2022-2024","MS21","4501617505",4,8835,883503,30,"04-EXPL-AST01","Abattage-façonnage de grumes","GUERY 17 - Abattage-façonnage de grumes",13,"M3",1800,2024-09-25,1053,13689,118,"ABATTAGE"
"2022-2024","MS22","4501568088",3,8730,873012,10,"04-EXPL-AST01","Abattage-façonnage de grumes","MS1 Abattage-façonnage",15,"M3",750,2023-08-04,200,3000,121,"ABATTAGE"
"2022-2024","MS22","4501568088",3,8730,873012,10,"04-EXPL-AST01","Abattage-façonnage de grumes","MS1 Abattage-façonnage",15,"M3",750,2023-09-11,300,4500,122,"ABATTAGE"
"2022-2024","MS22","4501568088",3,8730,873012,10,"04-EXPL-AST01","Abattage-façonnage de grumes","MS1 Abattage-façonnage",15,"M3",750,2023-10-03,250,3750,123,"ABATTAGE"
"2022-2024","MS22","4501592858",3,8730,873012,10,"04-EXPL-AST01","Abattage-façonnage de grumes","MS1 Abattage-façonnage",15,"M3",150,2024-01-22,150,2250,131,"ABATTAGE"
"2022-2024","MS24_lot1","4501576333",2,8415,841522,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",13,"M3",858,2024-01-19,450,5850,144,"ABATTAGE"
"2022-2024","MS24_lot1","4501576333",2,8415,841522,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",13,"M3",858,2024-02-08,400,5200,145,"ABATTAGE"
"2022-2024","MS24_lot1","4501576333",2,8415,841522,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",13,"M3",858,2024-03-12,12,156,146,"ABATTAGE"
"2022-2024","MS24_lot1","4501576333",2,8415,841522,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",13,"M3",1716,2024-03-13,-4,-52,147,"ABATTAGE"
"2022-2024","MS24_lot1","4501576333",2,8415,841522,20,"04-EXPL-AMI01","Abattage mécanisé de bois d'industrie","Abattage mécanisé de bois d'industrie",13,"M3",104,2024-03-12,23,299,148,"ABATTAGE"
"2022-2024","MS24_lot1","4501576333",2,8415,841522,20,"04-EXPL-AMI01","Abattage mécanisé de bois d'industrie","Abattage mécanisé de bois d'industrie",13,"M3",208,2024-03-13,81,1053,149,"ABATTAGE"
"2022-2024","MS26","4700246103",5,8693,869317,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",15,"M3",1290,2024-03-27,200,3000,169,"ABATTAGE"
"2022-2024","MS26","4700246103",5,8693,869317,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",15,"M3",1290,2024-04-30,504,7560,170,"ABATTAGE"
"2022-2024","MS26","4700246103",5,8693,869317,10,"04-EXPL-AST01","Abattage-façonnage de grumes","Abattage-façonnage de grumes",15,"M3",1290,2024-11-20,76,1140,171,"ABATTAGE"
"2022-2024","MS27","4501589705",4,8450,845009,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB GR R FD BREUIL P50",7.5,"M3",1305.24,2024-02-13,600,4500,179,"ABATTAGE"
"2022-2024","MS27","4501589705",4,8450,845009,50,"04-EXPL-AST01","Abattage-façonnage de grumes","AB GR R FD BREUIL P50",7.5,"M3",1305.24,2024-02-29,400,3000,180,"ABATTAGE"
