ACCORD_CADRE;ID_CHANTIER;NUM_SAP;NUM_ETF;AGENCE;CENTRE_PROFIT;POSTE;ARTICLE;LIBELLE_ARTICLE;LIBELLE_POSTE;PU_COMMANDE;UNITE;QUANTITE_COMMANDE;DATE_RECEPTION;QUANTITE_RECEPTION;MONTANT_RECEPTION
2022-2024;MS55;4501637680;3;8535;853501;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;ODS2025/FON1 - CAB MAT - EU - P.3/4/7/10;3150;U;6;2025-05-26;1;3150
2022-2024;MS57;4501640594;8;8415;841522;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo - Montage/démont câble MS57 FDCHAU;2000;U;13;2025-05-11;2;4000
2022-2024;MS57;4501640594;8;8415;841522;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo - Montage/démont câble MS57 FDCHAU;2000;U;13;2025-05-20;2;4000
2022-2024;MS57;4501640594;8;8415;841522;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo - Montage/démont câble MS57 FDCHAU;2000;U;13;2025-12-15;2;4000
2022-2024;MS57;4501640594;8;8415;841522;50;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo - Montage/démont câble MS57 FDCHAU;2000;U;13;2026-02-05;2;4000
2022-2024;MS60;4700262980;2;8681;868113;30;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FD Signy l'Abbaye 17-18-19 EXP;2730;U;7;2024-12-05;4;10920
2022-2024;MS60;4700262980;2;8681;868113;30;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FD Signy l'Abbaye 17-18-19 EXP;2730;U;7;2025-01-22;3;8190
2022-2024;MS60;4700262980;2;8681;868113;40;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FD Signy l'Abbaye146-147-148-149-150-162;2730;U;6;;;
2022-2024;MS60;4700269232;2;8681;868113;20;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FD Signy l'Abbaye 15-17-18-19;2730;U;4;2025-03-04;3;8190
2022-2024;MS61;4501639634;8;8415;841522;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo Montag/démont câble sans supMS 61;2100;U;11;2024-11-28;1;2100
2022-2024;MS61;4501639634;8;8415;841522;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo Montag/démont câble sans supMS 61;2100;U;11;2024-12-17;2;4200
2022-2024;MS61;4501639634;8;8415;841522;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo Montag/démont câble sans supMS 61;2100;U;11;2025-02-03;1;2100
2022-2024;MS61;4501639634;8;8415;841522;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo Montag/démont câble sans supMS 61;2100;U;11;2025-02-27;1;2100
2022-2024;MS61;4501639634;8;8415;841522;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo Montag/démont câble sans supMS 61;2100;U;11;2025-04-03;1;2100
2022-2024;MS61;4501639634;8;8415;841522;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo Montag/démont câble sans supMS 61;2100;U;11;2025-05-20;3;6300
2022-2024;MS61;4501639634;8;8415;841522;60;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Explo Montag/démont câble sans supMS 61;2100;U;11;2025-05-23;2;4200
