ACCORD_CADRE;ID_CHANTIER;NUM_SAP;NUM_ETF;AGENCE;CENTRE_PROFIT;POSTE;ARTICLE;LIBELLE_ARTICLE;LIBELLE_POSTE;PU_COMMANDE;UNITE;QUANTITE_COMMANDE;DATE_RECEPTION;QUANTITE_RECEPTION;MONTANT_RECEPTION
2025;MS25;4501696228;1;8450;845009;40;04-EXPL-TPG01;Travaux divers sur parc à grumes;MISE EN PLACE CHANTIER FD AU-DUC P34;3;U;1200;;;
2025;MS25;4501696228;1;8450;845009;50;04-EXPL-TPG01;Travaux divers sur parc à grumes;DEMOBILISATION CHANITER FD AU-DUC P34;1237.5;U;2;;;
2025;MS30;4501697127;13;8682;868211;30;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FD ChêneP84.2-85.2-Montage/démont. câble;2000;U;9;;;
2025;MS32;4700288177;13;8681;868113;40;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FD Signy l'Abbaye 146-147-148-149-150EXP;2750;U;18;;;
2025;MS38;4700285861;1;8683;868314;20;04-EXPL-INSTA01;04-EXPL-INSTA01;SIGFRA VIVEY p.3317 - inst. préparation;2000;U;2;2025-12-19;1;2000
2025;MS39;4700285887;1;8683;868314;30;04-EXPL-INSTA01;04-EXPL-INSTA01;SIGFRA VOISINES p.3410 - Instal. prépa.;1500;U;1;;;
2025;MS40;4501694442;8;8415;841522;90;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Forfait mont-démo ss support MS 40 FD;2500;U;9;;;
2025;MS40;4501694442;8;8415;841522;100;04-EXPL-DBC03;Exploitation - Montage/démontage câble;Forfait tracé-mont-dém MS 40 FD CHAUX;2500;U;3;;;
2025;MS42;4501694622;8;8455;845507;10;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE DEMONTAGE FD CITEAUX;2250;U;3;2025-11-17;2;4500
2025;MS42;4501694622;8;8455;845507;10;04-EXPL-DBC03;Exploitation - Montage/démontage câble;FORFAIT MONTAGE DEMONTAGE FD CITEAUX;2250;U;3;2025-12-01;1;2250
2025;MS44;4700280253;1;8670;867009;30;04-EXPL-DBC03;Exploitation - Montage/démontage câble;EXP FD GEHANT P.5/6;2000;U;8;;;
2025;MS47;4501705079;2;8805;880508;20;04-EXPL-INSTA01;04-EXPL-INSTA01;25-65 SEILLON V1-For tracé/montage;2500;U;3;;;
2025;MS61;4501709948;4;8345;834504;10;04-EXPL-INSTA01;04-EXPL-INSTA01;GSF GENTIOUX P 1 B;2500;U;3;2026-02-11;2;5000
