ID_CHANTIER,ACCORD_CADRE,NUM_ETF,TYPE_OP,DATE_RECEPTION,QUANTITE_RECEPTION,DATE_PREC,JOURS_CALENDAIRES,JOURS_TRAVAILLES,VITESSE_MOY_JOUR_M3,TYPE_VITESSE,JOURS_TRAVAILLES_AVEC_MONTAGE,VOL_REF,TYPE_CHANTIER,ANNEE,VOL_TOT_ANNUEL_M3,NB_CHANTIERS,debut,fin
MS45,2022-2024,1,CVar_CABLE_ABATTAGE,2024-12-13,451,2024-11-08,35,25,18.04,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS46,2022-2024,2,CVar_CABLE_ABATTAGE,2025-06-25,400,2025-05-27,29,20.714285714285715,19.310344827586206,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS46,2022-2024,2,CVar_CABLE_ABATTAGE,2025-08-28,636.6,2025-06-25,64,45.714285714285715,13.925625,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS47,2022-2024,3,CVar_CABLE_DEB-ABA,2024-11-06,200,2024-10-21,16,11.428571428571429,17.5,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS49,2022-2024,8,CVar_CABLE_ABATTAGE,2025-03-19,460,2025-02-26,21,15,30.666666666666668,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS49,2022-2024,8,CVar_CABLE_ABATTAGE,2025-05-12,50.565000000000005,2025-03-19,54,38.57142857142857,1.3109444444444447,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS5,2022-2024,1,CVar_CABLE_ABATTAGE,2023-05-25,57.8,2023-05-02,23,16.42857142857143,3.518260869565217,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS50,2022-2024,9,CVar_CABLE_DEBARDAGE,2025-01-15,1300,2024-11-26,50,35.714285714285715,36.4,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS50,2022-2024,9,CVar_CABLE_DEBARDAGE,2025-01-29,700,2025-01-15,14,10,70,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS50,2022-2024,9,CVar_CABLE_DEBARDAGE,2025-02-25,1500,2025-01-29,27,19.285714285714285,77.77777777777779,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS50,2022-2024,9,CVar_CABLE_DEBARDAGE,2025-03-14,500,2025-02-25,17,12.142857142857142,41.1764705882353,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS50,2022-2024,9,CVar_CABLE_DEBARDAGE,2025-03-18,1500,2025-03-14,4,2.857142857142857,525,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS50,2022-2024,9,CVar_CABLE_ABATTAGE,2025-06-19,1000,2025-06-13,6,4.285714285714286,233.33333333333334,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS51,2022-2024,8,CVar_CABLE_ABATTAGE,2024-10-15,171.227,2024-09-30,15,10.714285714285715,15.981186666666666,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS55,2022-2024,3,CVar_CABLE_ABATTAGE,2025-04-09,350,2025-02-12,56,40,8.75,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
MS55,2022-2024,3,CVar_CABLE_DEBARDAGE,2025-05-26,832.16,2025-04-09,47,33.57142857142857,24.787744680851063,intra_chantier,NA,NA,NA,NA,NA,NA,NA,NA
