ID_CHANTIER,ACCORD_CADRE,VOL_REEL_ABA_M3,COUT_ABA_M3,VOL_REEL_DEB_M3,COUT_DEB_M3,VOL_REEL_ABADEB_M3,COUT_ABADEB_M3,VOL_REF.x,COUT_MONTAGE_M3,COUT_MONTAGE_TOTAL,VOL_REF.y,COUT_TRANSFERT_M3,COUT_TRANSFERT_TOTAL
MS48,2022-2024,NA,NA,0,NA,773.18,19.5,773.18,9.70019917742311,7500,773.18,5.432111539356942,4200
MS49,2022-2024,864.585,11.999999999999998,864.585,12,NA,NA,864.585,13.185516750811082,11400,864.585,2.4289109804125677,2100
MS5,2022-2024,670.0999999999999,12.000000000000004,670.0999999999999,14.000000000000004,NA,NA,670.0999999999999,5.969258319653783,4000,670.0999999999999,2.9846291598268917,2000
MS51,2022-2024,871.227,15.000005739032423,871.227,11.999995408774062,NA,NA,871.227,8.723329281576444,7600,871.227,1.3773677813015437,1200
MS52,2022-2024,NA,NA,683.98,18.200005848124214,NA,NA,683.98,11.184537559577764,7650,683.98,5.11710868738852,3500
MS55,2022-2024,826.79,11.300003628490911,1532.1599999999999,17.000000000000004,NA,NA,1532.1599999999999,12.335526315789474,18900,1532.1599999999999,5.2213868003341695,8000
MS57,2022-2024,1893,14,1543,13,NA,NA,1543,10.369410239792613,16000,1543,0,0
MS60,2022-2024,NA,NA,1960,18,NA,NA,1960,13.928571428571429,27300,1960,6.530612244897959,12800
MS61,2022-2024,3004,16,3004,14,NA,NA,3004,7.689747003994674,23100,3004,0.9986684420772304,3000
MS61,2025,500,10,0,NA,NA,NA,NA,NA,5000,NA,NA,NA
MS7,2025,3985.35,13.000000000000002,3385.35,14.500001476952162,NA,NA,3385.35,2.658513890735079,9000,3385.35,3.5328843398762313,11960.05
MS64,2022-2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21900
