"ID_CHANTIER","ACCORD_CADRE","DEP","FRT","NUM_ETF","DEBUT_CHANTIER","FIN_CHANTIER","VOL_PREVU","NB_LIGNES","LONGUEUR_MIN","LONGUEUR_MAX","LONGUEUR_MOY","VOL_REEL_ABA_M3","COUT_ABA_M3","VOL_REEL_DEB_M3","COUT_DEB_M3","VOL_REEL_ABADEB_M3","COUT_ABADEB_M3","VOL_REF","COUT_MONTAGE_M3","COUT_MONTAGE_TOTAL","COUT_TRANSFERT_M3","COUT_TRANSFERT_TOTAL","COUT_VARIABLES_M3","COUT_VARIABLES_TOT","COUT_FIXES_M3","COUT_FIXES_TOT","TARIF_PRESTA_M3","TARIF_PRESTA_SANS_ABA_M3","TARIF_PRESTA_SANS_TRANSFERT_M3","TARIF_PRESTA_SANS_ABA_TRANSFERT_M3","NB_GRUMES","DIAM_MOY","VOL_MOYEN_GRUME","G_TOT_CUT","ESSENCE_MAJ","VOL_HA_MOY","HA_DES_TOT","FAMILLE_COUPE","PEUPLEMENT_STR","ALTITUDE_MOY","PENTE_MOY","ALTITUDE_CENTROIDE","TYPE_CHANTIER"
"MS4","2025","19","Forêt domaniale de Larfeuil",4,2026-01-19,NA,2287,4,195,450,322.5,1200,9,800,22,NA,NA,800,3.125,2500,NA,NA,31,24800,NA,NA,NA,NA,34.125,25.125,3200,37.24375,1.20988,380.595,"Epicéa de sitka",606.46,6.93,"Famille Régénération","futaie régulière",902.581298828125,3.06738066673279,901.960021972656,"Montagne"
"MS7","2025","59","Forêt domaniale de Bois-L'Evêque",11,2025-07-10,2025-12-12,2713,3,200,560,380,3985.35,13,3385.35,14.5000014769522,NA,NA,3385.35,2.65851389073508,9000,3.53288433987623,11960.05,27.5000014769522,93097.13,6.19139823061131,20960.05,33.6913997075635,20.6913997075635,30.1585153676872,17.1585153676872,1369,49.8721694667641,1.98136157779401,268.907,"Epicéa de sitka",182.965,12.14,"Famille Amélioration","futaie régulière",155.375930786133,2.07332730293274,154.25,"Plaine"
"MS10","2025","05","Forêt domaniale des Sauvas",2,NA,NA,585,3,260,350,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,29.4097222222222,0.576159722222221,21.13,"Pin noir d'autriche",369,0.5,"Famille Régénération","futaie régulière",1271.22119140625,30.7266635894775,1263.15002441406,"Montagne"
"MS11","2025","25","Forêt communale de La-Chenalotte",8,2025-08-19,2025-10-20,1233,7,150,310,230,1330,8,1330,21,NA,NA,1330,13.6458646616541,18149,NA,NA,29,38570,NA,NA,NA,NA,42.6458646616541,34.6458646616541,1237,31.7421180274859,0.99657558609539,113.106000000001,"Epicéa commun",220.605,6.02,"Famille Irréguliers","futaie irrégulière",891.92041015625,2.1776294708252,892.799987792969,"Montagne"
"MS12","2025","25","Forêt communale de Berthelange",8,2025-06-11,2025-09-22,425,1,490,490,490,641.5,8.5,641.5,20,NA,NA,641.5,4.28682774746687,2750,0.771628994544037,495,28.5,18282.75,5.05845674201091,3245,33.5584567420109,25.0584567420109,32.7868277474669,24.2868277474669,419,36.6348448687351,1.0781169451074,47.463,"Sapin pectiné",274.44,2.32,"Famille Régénération","futaie régulière",253.047134399414,1.38726103305817,253.800003051758,"Plaine"
"MS14","2025","68","Forêt communale de Soultzeren",1,2025-12-15,NA,400,4,165,185,175,NA,NA,NA,NA,365,37,365,17.5342465753425,6400,3.20547945205479,1170,37,13505,20.7397260273973,7570,57.7397260273973,NA,54.5342465753425,NA,2569,29.5134293499416,0.65586920980928,190.335000000003,"Epicéa commun",57.75,30.28,"Famille Amélioration","futaie irrégulière",972.418762207031,18.8225574493408,973.130004882812,"Montagne"
"MS15_lot1","2025","67","Forêt domaniale de La Vancelle",1,2025-08-26,2025-11-18,500,4,320,440,380,112065,14.3175746218712,2110.65,19.3460024163172,NA,NA,2110.65,14.0241157937128,29600,0.586312273470258,1237.5,33.6635770381885,71052.0288756525,14.6104280671831,30837.5,48.2740051053716,33.9564304835003,47.6876928319013,33.3701182100301,248,45,1.71935483870968,39.442,"Epicéa commun",55.05,9.01,"Famille Amélioration","futaie régulière",618.67724609375,26.6384792327881,624.200012207031,"Montagne"
"MS15_lot2","2025","67","Forêt domaniale de La Vancelle",1,2025-08-26,2025-11-18,1350,10,115,430,272.5,112065,14.3175746218712,2110.65,19.3460024163172,NA,NA,2110.65,14.0241157937128,29600,0.586312273470258,1237.5,33.6635770381885,71052.0288756525,14.6104280671831,30837.5,48.2740051053716,33.9564304835003,47.6876928319013,33.3701182100301,921,40.4777415852334,1.46871769815418,125.304,"Sapin pectiné",51.69,29.81,"Famille Régénération","futaie régulière",636.538452148438,28.8698501586914,637.539978027344,"Montagne"
"MS17","2025","56","Forêt domaniale des Landes De Lanvaux",12,2025-12-01,NA,1735,12,70,320,195,450,9,450,29,NA,NA,450,6.22222222222222,2800,NA,NA,38,17100,NA,NA,NA,NA,44.2222222222222,35.2222222222222,4037,26.1010651473867,0.429820163487736,234.056000000003,"Pin sylvestre",222.618,9.33,"Famille coupes sanitaires","Non déterminé",97.6981506347656,3.16981029510498,97.4000015258789,"Plaine"
"MS18","2025","25","Forêt domaniale de Levier Jura",8,2025-06-23,2025-07-16,834,3,180,220,200,864.227,14.0000023142068,864.227,11.9999953715864,NA,NA,864.227,6.59548937952644,5700,0.798401345942675,690,25.9999976857932,22469.9,7.39389072546912,6390,33.3938884112623,19.3938860970555,32.5954870653196,18.5954847511128,325,49.6153846153846,2.59215076923076,66.9169999999999,"Sapin pectiné",212.115,5.83,"Famille Irréguliers","futaie irrégulière",694.297729492188,5.03598642349243,691.289978027344,"Montagne"
"MS20","2025","63","Forêt domaniale de Guery",4,2025-05-27,2025-07-21,950,6,100,370,235,NA,NA,NA,NA,701.3,24,701.3,14.1166405247398,9900,2.13888492799087,1500,24,16831.2,16.2555254527306,11400,40.2555254527307,NA,38.1166405247398,NA,4528,24.0459363957597,0.325827959363956,224.152000000003,"Epicéa commun",55.8133333333333,35.88,"Famille Amélioration","futaie régulière",1349.36328125,16.9535388946533,1432.40002441406,"Montagne"
"MS22","2025","71","Forêt domaniale de Saint-Prix",1,NA,NA,1000,7,130,200,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1937,24.5973154362416,0.516734641197729,101.625000000001,"Epicéa commun",210.165,5,"Famille Amélioration","futaie régulière",728.529174804688,6.78742504119873,721.77001953125,"Montagne"
"MS24","2025","27","Forêt domaniale de Lyons",11,NA,NA,2380,15,160,440,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516,57.1608527131783,3.41001356589147,139.977,"Hêtre",55.2933333333333,42.81,"Famille Amélioration","futaie régulière",145.999938964844,5.76234865188599,146.600006103516,"Plaine"
"MS25","2025","89","Forêt domaniale Au-Duc",1,NA,NA,1200,2,450,450,450,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655,41.8167938931298,1.83273282442748,94.475,"Epicéa commun",436.635,5,"Famille Régénération","futaie régulière",549.630432128906,4.6843786239624,553.590026855469,"Plaine"
"MS30","2025","51","Forêt domaniale du Chêne A La Vierge",13,NA,NA,1477,9,180,420,300,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075,31.5116279069767,0.866569302325582,108.932,"Feuillu dur",49.39,28.99,"Famille coupes sanitaires","Futaie sur souche ou TSF en conversion",268.522308349609,0.699842810630798,270,"Plaine"
"MS38","2025","52","Regroupement forestier Sigf De La Région D'Auberive",1,2025-12-19,NA,650,1,280,650,465,NA,NA,NA,NA,200,29,200,10,2000,14.85,2970,29,5800,24.85,4970,53.85,NA,39,NA,1577,22.6157260621433,0.422273937856686,75.9939999999995,"Epicéa commun",118.83,6.75,"Famille Régénération","futaie régulière",390.1650390625,9.9784517288208,380.649993896484,"Plaine"
"MS39","2025","52","Regroupement forestier Sigf De La Région D'Auberive",1,NA,NA,168,1,200,200,200,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,476,20.7983193277311,0.351630252100841,19.558,"Epicéa commun",104.45,1.92,"Famille Régénération","futaie régulière",412.582489013672,5.73798513412476,411.929992675781,"Plaine"
"MS42","2025","21","Forêt domaniale de Citeaux",8,2025-11-17,NA,1150,3,350,400,375,891.209,14.000004488285,891.209,15.999995511715,NA,NA,891.209,7.57398096293911,6750,1.09401947242454,975,30,26736.27,8.66800043536364,7725,38.6680004353636,24.6679959470786,37.5739809629391,23.5739764746541,185,68.7027027027027,3.46616216216216,70.36,"Chêne sessile ou pédonculé",109.31,10.84,"Famille Régénération","Futaie sur souche ou TSF en conversion",211.718795776367,1.7114634513855,212.940002441406,"Plaine"
"MS47","2025","01","Forêt domaniale de Seillon",2,2026-01-20,NA,583,3,370,430,400,250,12,0,NA,NA,NA,NA,NA,0,NA,5574,NA,NA,NA,5574,NA,NA,NA,NA,885,24.0564971751412,0.531923163841806,48.5829999999996,"Feuillu dur",45.29,12.86,"Famille Régénération","futaie régulière",258.243316650391,1.8111743927002,259.5,"Plaine"
"MS61","2025","23","Forêt du G.S.F. De Gentioux-Pigerolles",4,2026-02-11,NA,690,3,110,340,225,500,10,0,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1850,23,0.373063783783784,81.032,"Pin sylvestre",300.56,2.48,"Famille Régénération","futaie régulière",703.697326660156,3.77658414840698,707.150024414062,"Montagne"
