"ID_CHANTIER","ACCORD_CADRE","DEP","FRT","NUM_ETF","DEBUT_CHANTIER","FIN_CHANTIER","VOL_PREVU","NB_LIGNES","LONGUEUR_MIN","LONGUEUR_MAX","LONGUEUR_MOY","VOL_REEL_ABA_M3","COUT_ABA_M3","VOL_REEL_DEB_M3","COUT_DEB_M3","VOL_REEL_ABADEB_M3","COUT_ABADEB_M3","VOL_REF","COUT_MONTAGE_M3","COUT_MONTAGE_TOTAL","COUT_TRANSFERT_M3","COUT_TRANSFERT_TOTAL","COUT_VARIABLES_M3","COUT_VARIABLES_TOT","COUT_FIXES_M3","COUT_FIXES_TOT","TARIF_PRESTA_M3","TARIF_PRESTA_SANS_ABA_M3","TARIF_PRESTA_SANS_TRANSFERT_M3","TARIF_PRESTA_SANS_ABA_TRANSFERT_M3","NB_GRUMES","DIAM_MOY","VOL_MOYEN_GRUME","G_TOT_CUT","ESSENCE_MAJ","VOL_HA_MOY","HA_DES_TOT","FAMILLE_COUPE","PEUPLEMENT_STR","ALTITUDE_MOY","PENTE_MOY","ALTITUDE_CENTROIDE","TYPE_CHANTIER"
"MS23","2022-2024","39","Forêt domaniale de Chaux",2,2024-01-03,2024-07-13,1765,8,350,375,362.5,NA,NA,2008,18,NA,NA,2008,9.9601593625498,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9601593625498,709,47.4188998589563,1.66181100141044,143.160999999999,"Hêtre",76.3633333333333,25.48,"Famille Régénération","futaie régulière",258.062042236328,1.73771524429321,259.720001220703,"Plaine"
"MS24_lot1","2022-2024","39","Forêt domaniale de Chaux",2,2024-01-19,2024-03-13,895,2,360,360,360,962,13,962,25,NA,NA,962,4.15800415800416,4000,NA,NA,38,36556,NA,NA,NA,NA,42.1580041580042,29.1580041580042,1736,22.4251152073733,0.371837557603687,83.597,"Charme",110.63,8.91,"Famille Régénération","Futaie sur souche ou TSF en conversion",236.914611816406,1.54912400245667,234.970001220703,"Plaine"
"MS24_lot2","2022-2024","39","Forêt domaniale de Chaux",2,2024-01-03,2024-07-13,505,2,420,420,420,NA,NA,2008,18,NA,NA,2008,9.9601593625498,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9601593625498,122,55.983606557377,2.36439344262295,31.295,"Chêne sessile ou pédonculé",65.27,8.43,"Famille Régénération","Futaie sur souche ou TSF en conversion",236.507247924805,0.935746371746063,236.179992675781,"Plaine"
"MS26","2022-2024","68","Forêt communale de Wolschwiller",5,2024-03-27,2024-11-20,1200,17,190,460,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2056,26.5977626459144,0.565006809338525,124.461000000002,"Hêtre",71.615,26.34,"Famille Amélioration","futaie régulière",655.315002441406,21.8200836181641,628.030029296875,"Montagne"
"MS27","2022-2024","58","Forêt domaniale de Breuil-Chenue",4,2024-02-13,2024-03-29,1300,3,100,160,130,1305.24,7.50000766142625,1305.24,22,NA,NA,1305.24,9.11709723882198,11900,NA,NA,29.5000076614263,38504.59,NA,NA,NA,NA,38.6171049002482,31.117097238822,3073,28.0475105759844,0.593318255776115,200.491,"Sapin pectiné",499.69,3.94,"Famille Régénération","futaie régulière",520.466369628906,17.8608951568604,542.710021972656,"Plaine"
"MS29","2022-2024","70","Forêt communale de Senargent-Mignafans",3,2023-12-30,2024-03-27,1023,2,460,530,495,859.45,11,859.45,14,NA,NA,859.45,5.23590668450753,4500,4.65413927511781,4000,25,21486.25,9.89004595962534,8500,34.8900459596253,23.8900459596253,30.2359066845075,19.2359066845075,159,70.4716981132076,3.58103773584906,64.6320000000001,"Chêne sessile ou pédonculé",128.31,7.97,"Famille Régénération","Futaie sur souche ou TSF en conversion",278.577667236328,1.51225137710571,279.299987792969,"Plaine"
"MS30","2022-2024","68","Forêt domaniale de Ribeauvillé",1,2024-03-22,2024-08-26,2000,4,190,280,235,1214,8,1214,23,NA,NA,1214,9.88467874794069,12000,4.94233937397035,6000,31,37634,14.827018121911,18000,45.827018121911,37.827018121911,40.8846787479407,32.8846787479407,2860,27.2202797202797,0.574294405594406,173.83,"Epicéa commun",215.35,8.5,"Famille Amélioration","futaie régulière",519.740051269531,24.2770938873291,522.859985351562,"Plaine"
"MS31_lot1","2022-2024","44","Forêt domaniale du Gâvre",6,2024-02-21,2024-03-13,925,4,160,440,300,NA,NA,NA,NA,1246.298,24.8044448438495,1246.298,10.8320802889839,13500,5.61663422391755,7000,24.8044448438495,30913.73,16.4487145129014,20500,41.253159356751,NA,35.6365251328334,NA,286,50.034965034965,2.35413286713287,59.385,"Chêne sessile ou pédonculé",92.95,10.33,"Famille Régénération","futaie régulière",43.217960357666,1.49923813343048,42.4000015258789,"Plaine"
"MS31_lot2","2022-2024","44","Forêt domaniale du Gâvre",6,2024-02-21,2024-03-13,140,2,105,135,120,NA,NA,NA,NA,1246.298,24.8044448438495,1246.298,10.8320802889839,13500,5.61663422391755,7000,24.8044448438495,30913.73,16.4487145129014,20500,41.253159356751,NA,35.6365251328334,NA,76,48.0263157894737,1.82511842105263,14.225,"Chêne sessile ou pédonculé",125.09,1.5,"Famille Régénération","futaie régulière",36.7834358215332,1.4717983007431,37.5999984741211,"Plaine"
"MS31_lot4","2022-2024","44","Forêt domaniale du Gâvre",6,2024-02-21,2024-03-13,400,3,310,330,320,NA,NA,NA,NA,1246.298,24.8044448438495,1246.298,10.8320802889839,13500,5.61663422391755,7000,24.8044448438495,30913.73,16.4487145129014,20500,41.253159356751,NA,35.6365251328334,NA,349,37.0630372492837,1.45177077363897,49.378,"Chêne sessile ou pédonculé",45.16,13.12,"Famille Amélioration","futaie régulière",39.8031311035156,0.611905336380005,39.7000007629395,"Plaine"
