"ID_CHANTIER","DEP","FRT","VOL_PREVU","NB_LIGNES","LONGUEUR_MIN","LONGUEUR_MAX","COUT_DEB_M3","COUT_ABA_M3","COUT_MONTAGE_TOTAL","COUT_MONTAGE_M3","COUT_TRANSFERT_TOTAL","VOL_REEL_M3","COUT_TRANSFERT_M3","DIAM_MOY","VOL_MOYEN_GRUME","PRIX_VENTE_MOY","NB_GRUMES","G_TOT_MOY","VOL_HA_MOY","HA_DES_TOT","NB_TIGES_CONT","ESSENCE_DOM","PEUPLEMENT_MODE","DEBUT_CHANTIER","FIN_CHANTIER","DEBUT_PREVU","FIN_PREVU","NB_LIGNES_TOTAL","JOURS_TOTAL","JOURS_EFFECTIFS","COUT_VARIABLES_M3","COUT_FIXES_M3","TARIF_PRESTA_M3","LONGUEUR_MOY","altitude_centroide","altitude_moy","pente_moy","VITESSE_DEBARDAGE_M3_JOUR"
"MS24_lot2","39","Forêt domaniale de Chaux",505,2,420,420,27.8216055500496,NA,NA,NA,NA,2018,NA,49.1230283911671,2.08824745497259,189.252289983516,1277,31.279,65.27,8.43,122,"Chêne en mélange","Futaie sur souche ou TSF en conversion",19725,19917,19632,19797,2,193,135,NA,NA,NA,420,236.179992675781,236.507247924805,0.935746371746063,14.9481481481481
"MS26","68","Forêt communale de Wolschwiller",1200,17,190,460,34.953488372093,15,NA,NA,NA,1640,NA,34.812030075188,16.4350207612457,602.607411764706,289,81.0962,140.674,57.55,6208,"SAPIN PECTINE","futaie régulière",19809,20047,19576,19660,17,239,146.428571428571,49.953488372093,NA,NA,325,194.809997558594,571.534118652344,18.8284816741943,11.2
"MS27","58","Forêt domaniale de Breuil-Chenue",1300,3,100,160,22,7.50000766142625,11900,4.55854861941099,NA,2610.48,NA,NA,37.6870545454545,916.246603773585,57,104.1908,195.744,39.31,6433,"Provisoire","Non déterminé",19766,19811,19632,19722,3,46,28.5714285714286,29.5000076614263,NA,NA,130,344.570007324219,492.720367431641,24.2471694946289,91.3668
"MS29","70","Forêt communale de Senargent-Mignafans",1023,2,460,530,14,11,4500,2.61795334225377,4000,1718.9,2.3270696375589,61.4305555555556,2.6035529953917,614.531778290993,437,41.3192,87.962,39.49,851,"CHENES INDIGENES","futaie régulière",19721,19809,19674,19797,2,89,60.7142857142857,25,4.94502297981267,29.9450229798127,495,127.300003051758,169.001113891602,3.93100762367249,28.3112941176471
"MS30","68","Forêt domaniale de Ribeauvillé",2000,4,190,280,23,8,6000,2.47116968698517,6000,2428,2.47116968698517,49.5111111111111,21.9785061728395,895.365466666667,84,56.547,82.582,37.49,3935,"CHENE PEDONCULE","Futaie sur souche ou TSF en conversion",19804,19961,19660,19828,4,158,107.142857142857,31,4.94233937397035,35.9423393739703,235,246.5,360.670562744141,9.34812259674072,22.6613333333333
"MS31_lot1","44","Forêt domaniale du Gâvre",925,4,160,440,NA,24.8044448438495,13500,10.8320802889839,7000,1246.298,5.61663422391755,44.3884297520661,1.76905034013605,367.249197278912,735,29.686,92.95,10.33,286,"CHENES INDIGENES","futaie régulière",19774,19795,19667,19797,4,22,10,NA,16.4487145129014,NA,300,42.4000015258789,43.217960357666,1.49923813343048,124.6298
"MS31_lot2","44","Forêt domaniale du Gâvre",140,2,105,135,NA,24.8044448438495,13500,10.8320802889839,7000,1246.298,5.61663422391755,44.3884297520661,1.76905034013605,367.249197278912,735,14.22,125.09,1.5,76,"CHENES INDIGENES","futaie régulière",19774,19795,19667,19797,2,22,12.8571428571429,NA,16.4487145129014,NA,120,37.5999984741211,36.7834358215332,1.4717983007431,96.9342888888889
"MS31_lot4","44","Forêt domaniale du Gâvre",400,3,310,330,NA,24.8044448438495,13500,10.8320802889839,7000,1246.298,5.61663422391755,44.3884297520661,1.76905034013605,367.249197278912,735,24.69,45.16,13.12,349,"Chênes>50% et Pins sylvestres 20/50%","futaie régulière",19774,19795,19667,19797,3,22,11.4285714285714,NA,16.4487145129014,NA,320,39.7000007629395,39.8031311035156,0.611905336380005,109.051075
"MS32","85","Forêt domaniale de Mervent",815,7,230,390,NA,25.0000052077854,10500,10.9363494049064,7000,960.101,7.29089960327091,45.8837209302325,1.49081047765794,418.299630200308,654,19.7828125,51.77875,110.84,2071,"Feuillus en mélange","Futaie sur souche ou TSF en conversion",19709,19766,19667,19797,7,58,31.4285714285714,NA,18.2272490081773,NA,310,131.350006103516,169.101959228516,4.31923389434814,30.5486681818182
"MS33","77","Forêt domaniale de Villefermoy",770,5,370,430,16,NA,11000,19.0459700458835,4500,577.55,7.79153320058869,61.2338129496403,1.56376655052265,743.008956841727,289,32.7452222222222,134.61,48.41,2056,"Chêne en mélange","Futaie sur souche ou TSF en conversion",19786,19891,19695,19797,5,106,68.5714285714286,NA,26.8375032464722,NA,400,118.099998474121,141.089965820312,0.379075467586517,8.42260416666667
"MS34","63","Forêt départementale de la Vallée Du Fossat",2000,3,500,750,23.5,16,12900,4.3,8500,3000,2.83333333333333,NA,3.29361729622266,107.702283702213,1007,27.1915,46.685,14.01,258,"CHATAIGNIER","futaie régulière",20063,20410,19912,20042,3,348,244.285714285714,39.5,7.13333333333333,46.6333333333333,625,260.700012207031,706.03857421875,11.7636060714722,12.280701754386
"MS35","19","Forêt sectionale de la Valade Et La Chanselve",1240,11,105,190,21.3,NA,NA,NA,3000,2100,1.42857142857143,NA,0.883568002180432,44.7164848650123,3671,105.93975,136.4775,56.47,4015,"DOUGLAS","futaie irrégulière",19794,19915,20031,20162,11,122,71.4285714285714,NA,NA,NA,147.5,556,702.20166015625,25.163459777832,29.4
"MS37_lot1","71","Forêt domaniale de Saint-Prix",1820,5,110,250,14.0577164366374,14.0577164366374,11900,7.465495608532,7000,1594,4.39146800501882,NA,NA,NA,NA,191.357,364.5,5.5,3137,"EPICEA COMMUN","futaie régulière",19858,19915,19723,19889,5,58,34.2857142857143,28.1154328732748,11.8569636135508,39.9723964868256,180,326.679992675781,331.228729248047,4.12342691421509,46.4916666666667
"MS37_lot2","71","Forêt domaniale de Saint-Prix",280,2,210,220,14.0577164366374,14.0577164366374,11900,7.465495608532,7000,1594,4.39146800501882,NA,NA,NA,NA,25.934,20.35,15.45,313,"EPICEA COMMUN","futaie régulière",19858,19915,19723,19889,2,58,38.5714285714286,28.1154328732748,11.8569636135508,39.9723964868256,215,766.200012207031,766.828247070312,4.89899492263794,41.3259259259259
"MS38","36","Forêt domaniale de Châteauroux",1600,6,380,380,17.9999979916634,NA,NA,NA,4500,995.849,4.51875736180887,42.60663507109,2.38512384259259,263.739808943596,864,69.3366666666667,64.3033333333333,56.19,3189,"CHENES INDIGENES","Futaie sur souche ou TSF en conversion",19773,19817,19723,19828,6,45,23.5714285714286,NA,NA,NA,380,169.600006103516,212.336471557617,4.71764421463013,42.2481393939394
"MS40","88","Forêt domaniale de Moyenmoutier",760,5,150,345,24.5000054328339,18.0583120959085,0,0,NA,2140.66,NA,NA,56.6281612903226,2252.87222222222,34,49.3441428571429,80.6914285714286,54.99,3776,"Hêtre en mélange","futaie régulière",20356,20405,19891,19981,5,50,28.5714285714286,42.5583175287424,NA,NA,247.5,350,292.356536865234,6.73313236236572,74.9231
