ACCORD_CADRE,ID_CHANTIER,NUM_SAP,NUM_ETF,AGENCE,CENTRE_PROFIT,POSTE,ARTICLE,LIBELLE_ARTICLE,LIBELLE_POSTE,PU_COMMANDE,UNITE,QUANTITE_COMMANDE,DATE_RECEPTION,QUANTITE_RECEPTION,MONTANT_RECEPTION,ID_LIGNE,TYPE_TRAVAUX
2022-2024,MS64,4501658441,4,8835,883503,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,GUERY 23 24 25 Mont/démontage câble-MS41,1700,U,12,2025-04-24,4,6800,NA,TRANSFERT
2025,MS1,4501667968,4,8835,883515,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,D.ECLACH C Forfait transfert du matériel,247.5,U,2,2025-04-28,1,247.5,NA,TRANSFERT
2025,MS2,4501675539,4,8835,883509,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,MEZENC 26 -Forfait transfert du matériel,1980,U,1,2025-07-01,1,1980,NA,TRANSFERT
2025,MS3,4501691097,4,8835,883509,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,LANTRIAC 7 Forfait transfert du matériel,907,U,1,2025-10-28,1,907,NA,TRANSFERT
2025,MS3,4501691097,4,8835,883509,50,04-EXPL-DBC02,Exploitation - Transfert matériel câble,LANDRIAC 7 Forfait déplacement équipe,1410,U,1,2025-10-28,1,1410,NA,TRANSFERT
2025,MS7,4501675578,11,8505,850510,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait transfert matériel - MS 7,704,U,4,2025-07-10,2,2,NA,TRANSFERT
2025,MS7,4501675578,11,8505,850510,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait transfert matériel - MS 7,704,U,4,2025-09-02,2,2,NA,TRANSFERT
2025,MS7,4501675578,11,8505,850510,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,300,U,3,2025-07-10,300,900,NA,TRANSFERT
2025,MS7,4501675578,11,8505,850510,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,300,U,3,2025-09-02,700,2100,NA,TRANSFERT
2025,MS7,4501675578,11,8505,850510,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,300,U,6,2025-09-03,-1000,-3000,NA,TRANSFERT
2025,MS7,4501675578,11,8505,850510,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,300,U,3,2025-09-11,3,900,NA,TRANSFERT
2025,MS7,4501675578,11,8505,850510,70,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,700,U,3,2025-09-11,3,2100,NA,TRANSFERT
2025,MS7,4501675578,11,8505,850510,80,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,600,U,3,2025-11-06,3,1800,NA,TRANSFERT
2025,MS7,4501675578,11,8505,850510,120,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait déplacement équipe - MS 7,7156.05,U,1,2025-12-12,1,7156.05,NA,TRANSFERT
2025,MS12,4501668554,8,8440,844001,30,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait transfert mat FC BERTHELANGE P13,330,U,2,2025-06-11,1.5,495,NA,TRANSFERT
2025,MS14,4700283007,1,8693,869308,10,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Exploitation - Transfert matériel câble,390,U,3,2025-12-15,3,1170,NA,TRANSFERT
2025,MS15_lot1,4700276485,1,8692,869206,70,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Exploitation - Transfert matériel câble,412.5,U,3,2025-08-26,3,1237.5,NA,TRANSFERT
2025,MS15_lot2,4700276485,1,8692,869206,70,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Exploitation - Transfert matériel câble,412.5,U,3,2025-08-26,3,1237.5,NA,TRANSFERT
2025,MS18,4501675175,8,8440,844009,50,04-EXPL-DBC02,Exploitation - Transfert matériel câble,Forfait transfert du matériel FD LEVIER1,345,U,2,2025-06-23,2,690,NA,TRANSFERT
2025,MS20,4501670169,4,8835,883503,20,04-EXPL-DBC02,Exploitation - Transfert matériel câble,GUERY 28 29 30Forfait transfert matériel,1500,U,1,2025-05-27,1,1500,NA,TRANSFERT
2025,MS32,4700288177,13,8681,868113,50,04-EXPL-DBC02,Exploitation - Transfert matériel câble,FD Signy l'Abbaye 146-147-148-149-150EXP,3,U,4,NA,NA,NA,NA,TRANSFERT
2025,MS38,4700285861,1,8683,868314,30,04-EXPL-TFMAT1,04-EXPL-TFMAT1,SIGFRA VIVEY p.3317 -Transfert matériel,2970,/FO,1,2025-12-19,1,2970,NA,TRANSFERT
2025,MS39,4700285887,1,8683,868314,40,04-EXPL-TFMAT1,04-EXPL-TFMAT1,SIGFRA VOISINES p.3410 - Transfert mat.,502.5,/FO,1,NA,NA,NA,NA,TRANSFERT
2025,MS40,4501694442,8,8415,841522,110,08-EXPL-MANUT00,Manut / Rgpt sur chantiers avec grumier,Forfait Transfert matériel FD CHAUX,390,U,2,NA,NA,NA,NA,TRANSFERT
2025,MS42,4501694622,8,8455,845507,40,04-EXPL-DBC02,Exploitation - Transfert matériel câble,FORF.TRANSF. FD CITEAUX,487.5,U,2,2025-11-17,2,975,NA,TRANSFERT
2025,MS47,4501705079,2,8805,880508,10,04-EXPL-TFMAT1,04-EXPL-TFMAT1,25-65 SEILLON V1-Transfert,2787,U,2,2026-01-20,2,5574,NA,TRANSFERT
2022-2024,MS3,4501531192,1,8415,841522,60,04-EXPL-DBC01,Débardage par câble,mise en place démolition chantier,6000,M3,1,2023-01-19,1,6000,NA,MONTAGE
2022-2024,MS3,4501531192,1,8415,841522,110,04-EXPL-DBC01,Débardage par câble,MONTAGE DE LIGNES,2400,M3,3,2023-05-16,3,7200,NA,MONTAGE
2022-2024,MS4,4501554573,2,8455,845505,30,04-EXPL-DBC03,Exploitation - Montage/démontage câble,FORFAIT MONTAGE/DEMONTAGE - FD SAULIEU,4000,U,1,2023-06-12,1,4000,NA,MONTAGE
2022-2024,MS5,4501548552,1,8455,845514,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,FORFAIT MONTAGE/DEMONTAGE - FD ANOST,4000,U,1,2023-05-02,1,4000,NA,MONTAGE
2022-2024,MS10_lot1,4501547859,3,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,1666.67,U,9,2023-04-06,2,3333.34,NA,MONTAGE
2022-2024,MS10_lot1,4501547859,3,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,1666.67,U,9,2023-05-16,3,5000.01,NA,MONTAGE
2022-2024,MS10_lot1,4501547859,3,8835,883505,20,04-EXPL-DBC03,Exploitation - Montage/démontage câble,AYGUEBON 4U 7U - Montage/démontage câble,1666.67,U,9,2023-06-02,1,1666.67,NA,MONTAGE
